Date,Close,Open,High,Low,Vol.,Change %
01/04/2023,10458.76,10467.82,10515.22,10337.64,1.04B,0.69%
01/03/2023,10386.99,10562.06,10613.06,10309.16,983.36M,-0.76%
12/30/2022,10466.48,10368.37,10468.31,10324.7,850.56M,-0.11%
12/29/2022,10478.09,10321.46,10502.08,10301.06,894.54M,2.59%
12/28/2022,10213.29,10339.2,10414.82,10207.47,751.52M,-1.35%
12/27/2022,10353.23,10462.19,10472.32,10340.73,753.05M,-1.38%
12/23/2022,10497.86,10437.75,10514.76,10361.82,678.03M,0.21%
12/22/2022,10476.12,10586.46,10599.34,10313.32,974.20M,-2.18%
12/21/2022,10709.37,10592,10753.57,10569.2,937.40M,1.54%
12/20/2022,10547.11,10490.89,10609.46,10446.82,972.31M,0.01%
12/19/2022,10546.03,10707.44,10713.97,10497.55,1.04B,-1.49%
12/16/2022,10705.41,10767.63,10833.24,10642.1,3.28B,-0.97%
12/15/2022,10810.53,11012.62,11029.57,10775.61,1.16B,-3.23%
12/14/2022,11170.89,11248.09,11352.09,11065.24,1.12B,-0.76%
12/13/2022,11256.81,11542.84,11571.64,11160.54,1.24B,1.01%
12/12/2022,11143.74,11015.48,11144.67,10984.82,955.14M,1.26%
12/09/2022,11004.62,11038.17,11138.7,10999.26,867.24M,-0.70%
12/08/2022,11082,11011.33,11119.16,10939.47,832.95M,1.13%
12/07/2022,10958.55,10963.95,11039.81,10910.62,828.48M,-0.51%
12/06/2022,11014.89,11228.42,11241.42,10956.2,888.70M,-2.00%
12/05/2022,11239.94,11380.99,11425.51,11193.03,885.18M,-1.93%
12/02/2022,11461.5,11308.38,11492.32,11296.72,859.61M,-0.18%
12/01/2022,11482.45,11475.17,11546.77,11378.75,912.53M,0.13%
11/30/2022,11468,10995.2,11468.47,10966.53,1.62B,4.41%
11/29/2022,10983.78,11060.02,11086.02,10944.37,783.46M,-0.59%
11/28/2022,11049.5,11147.57,11217.75,11020.69,811.96M,-1.58%
11/25/2022,11226.36,11231,11261.57,11206.38,377.17M,-0.52%
11/23/2022,11285.32,11174.61,11310.82,11174.61,695.12M,0.99%
11/22/2022,11174.41,11058.56,11179.87,10975.66,758.80M,1.36%
11/21/2022,11024.51,11091.01,11128.78,10999.75,765.20M,-1.09%
11/18/2022,11146.06,11257.01,11259.44,11059.16,846.40M,0.01%
11/17/2022,11144.96,11008.67,11198.84,11006.21,837.39M,-0.35%
11/16/2022,11183.66,11260.09,11286.1,11162.92,887.82M,-1.54%
11/15/2022,11358.41,11474.82,11492.62,11241.15,1.04B,1.45%
11/14/2022,11196.22,11233.9,11350.13,11167.17,983.40M,-1.12%
11/11/2022,11323.33,11124.75,11352.43,11069.83,1.21B,1.88%
11/10/2022,11114.15,10869.17,11119.12,10779.95,1.40B,7.35%
11/09/2022,10353.17,10528.45,10564.97,10344.01,1.04B,-2.48%
11/08/2022,10616.2,10611.53,10745.64,10472.73,994.35M,0.49%
11/07/2022,10564.52,10516.94,10587.96,10428.91,930.25M,0.85%
11/04/2022,10475.25,10548.14,10553.63,10262.93,1.09B,1.28%
11/03/2022,10342.94,10399.45,10486.01,10319.54,1.01B,-1.73%
11/02/2022,10524.8,10885.01,10993.24,10522.9,1.10B,-3.36%
11/01/2022,10890.84,11154.74,11156.35,10881.19,903.26M,-0.89%
10/31/2022,10988.15,11028.43,11047.94,10914,1.08B,-1.03%
10/28/2022,11102.45,10766.2,11117.04,10766.2,977.64M,2.87%
10/27/2022,10792.67,10971.95,10998.73,10780.5,973.52M,-1.63%
10/26/2022,10970.99,10969.02,11205.84,10948.38,1.00B,-2.04%
10/25/2022,11199.12,10996.97,11210.38,10996.97,991.08M,2.25%
10/24/2022,10952.61,10867.07,10983.52,10713.33,921.20M,0.86%
10/21/2022,10859.72,10576.04,10875.72,10542.43,1.02B,2.31%
10/20/2022,10614.84,10657.41,10837.3,10574.55,866.25M,-0.61%
10/19/2022,10680.51,10689.31,10808.04,10592.88,921.13M,-0.85%
10/18/2022,10772.4,10963.99,10972.97,10670.12,929.62M,0.90%
10/17/2022,10675.8,10575.65,10696.59,10569.69,944.31M,3.43%
10/14/2022,10321.39,10742.81,10766.68,10308.81,918.04M,-3.08%
10/13/2022,10649.15,10131.82,10697.71,10088.83,1.05B,2.23%
10/12/2022,10417.1,10437,10494.53,10372.21,823.61M,-0.09%
10/11/2022,10426.19,10484.37,10608.84,10351.98,990.74M,-1.10%
10/10/2022,10542.1,10659.95,10669.93,10449.04,812.52M,-1.04%
10/07/2022,10652.41,10877.28,10891.93,10608.52,1.03B,-3.80%
10/06/2022,11073.31,11129.04,11230.44,11051.27,873.35M,-0.68%
10/05/2022,11148.64,11022.67,11210.32,10910.76,830.23M,-0.25%
10/04/2022,11176.41,11054.72,11189.96,11044.04,1.02B,3.34%
10/03/2022,10815.43,10659.01,10875.46,10577.89,943.34M,2.27%
09/30/2022,10575.62,10697.71,10883.04,10572.33,1.10B,-1.51%
09/29/2022,10737.51,10894.44,10899.47,10623.22,971.92M,-2.84%
